frame,method,mse_linear_rgb,residual_delta_mse
0,raw_cpu,0.004609411533,0
0,stable_spatial_cpu,0.003837986946,0
0,temporal_gpu,0.003837986955,0
1,raw_cpu,0.003195429827,0.006481296405
1,stable_spatial_cpu,0.002171717459,0.006009412743
1,temporal_gpu,0.001265195062,0.005102890353
2,raw_cpu,0.003193683992,0.001375729508
2,stable_spatial_cpu,0.002170848656,0.00100679362
2,temporal_gpu,0.001211227212,0.0008084916089
3,raw_cpu,0.004608004639,0.006159207317
3,stable_spatial_cpu,0.00383651778,0.006006187793
3,temporal_gpu,0.0003661219299,0.001571209616
4,raw_cpu,0.004607676536,0.00253655817
4,stable_spatial_cpu,0.003836711366,0.001005643464
4,temporal_gpu,0.00025555975,0.0006156845818
5,raw_cpu,0.003189486803,0.006476788995
5,stable_spatial_cpu,0.002170665295,0.006007054714
5,temporal_gpu,0.0003654599749,0.0006148726359
6,raw_cpu,0.003188643114,0.001366524344
6,stable_spatial_cpu,0.002170371504,0.001005442851
6,temporal_gpu,0.0002546413415,0.0006141949651
7,raw_cpu,0.004608214242,0.006155515484
7,stable_spatial_cpu,0.00383626919,0.006005820065
7,temporal_gpu,0.0003642097686,0.0006128165989
8,raw_cpu,0.004608077584,0.002536993754
8,stable_spatial_cpu,0.003836894433,0.001005949453
8,temporal_gpu,0.0002531159259,0.0006115346249
9,raw_cpu,0.003189110207,0.006478444809
9,stable_spatial_cpu,0.002171016177,0.006008173626
9,temporal_gpu,0.000363176628,0.0006104285551
10,raw_cpu,0.003191020871,0.001369384889
10,stable_spatial_cpu,0.002170919477,0.001006751876
10,temporal_gpu,0.0002520181565,0.0006094875656
11,raw_cpu,0.004608507744,0.006157820643
11,stable_spatial_cpu,0.003836916888,0.006007526093
11,temporal_gpu,0.0003631493841,0.0006094431494
12,raw_cpu,0.004608427676,0.002539638319
12,stable_spatial_cpu,0.003837581441,0.00100755551
12,temporal_gpu,0.0002521715878,0.0006096405312
13,raw_cpu,0.003194806619,0.006481478407
13,stable_spatial_cpu,0.002171772806,0.006009796628
13,temporal_gpu,0.0003643581336,0.000610853397
14,raw_cpu,0.00319658628,0.001379269119
14,stable_spatial_cpu,0.002171715255,0.001008337632
14,temporal_gpu,0.000253624677,0.0006122885352
15,raw_cpu,0.004610393653,0.006165010717
15,stable_spatial_cpu,0.003837792069,0.006008990286
15,temporal_gpu,0.000366284292,0.0006141914504
